,Decision Tree,Random Forest,XGBoost,LightGBM
Recall,1.0,0.9761554745383982,0.9748912148653417,0.9761554745383982
Precision,0.8978880675818374,0.961456040773775,0.9617426110160396,0.9591506572295248
Accuracy,0.9225966541263108,0.9571359961578484,0.9565156487633074,0.9554750660369807
